Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
The Suite Life of Zack & Cody,Comedy about identical twins living at the Tipton Hotel with their single mother who is a lounge singer at the hotel.,60,"Comedy, Family","Cole Sprouse, Dylan Sprouse, Brenda Song, Ashley Tisdale",6.5,33510,2005–2008
Burden of Truth,Big city lawyer Joanna Hanley returns to her hometown to take the case of a group of girls suffering from a mysterious illness.,48,Drama,"Kristin Kreuk, Peter Mooney, ""Anwen ODriscoll"", Star Slade",7.3,3304,2018–2021
Ice,A diamond dealer navigates the culturally diverse and otherwise treacherous world of the diamond business.,55,"Crime, Drama","Cam Gigandet, Jeremy Sisto, Audrey Marie Anderson, Judith Shekoni",6.7,860,2016– 
Spinning Out,"A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.",60,"Drama, Sport","Kaya Scodelario, January Jones, Willow Shields, Evan Roderick",7.6,11444,2020
The Musketeers,"Set on the streets of 17th-century Paris, ""The Musketeers"" gives a contemporary take on the classic story about a group of highly trained soldiers and bodyguards assigned to protect King and country.",30,"Adventure, Drama","Luke Pasqualino, Tom Burke, Santiago Cabrera, Howard Charles",7.8,21036,2014–2016
Sseulsseulhago Chalranhashin: Dokkaebi,"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.",50,"Comedy, Drama, Fantasy","Gong Yoo, Kim Go-eun, Lee Dong-Wook, Yoo In-Na",8.6,13257,2016–2017
Cuckoo,"Cuckoo is every parent's worst nightmare - a slacker full of outlandish, New Age ideas.",22,Comedy,"Greg Davies, Helen Baxendale, Tyger Drew-Honey, Kenneth Collard",7.2,8268,II 2012– 
Torchwood,"The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats.",43,"Action, Drama, Mystery","John Barrowman, Eve Myles, Kai Owen, Gareth David-Lloyd",7.7,39001,2006–2011
Grown-ish,"A spinoff of ABC's ""Black-ish,"" Zoey Johnson is off to college and must live outside the nest, dealing with drugs, sex, and relationships along the way.",23,"Comedy, Drama","Yara Shahidi, Trevor Jackson, Francia Raisa, Emily Arlook",6.4,4377,2018– 
"Signed, Sealed, Delivered","A group of postal detectives work to solve the mysteries behind undeliverable letters and packages from the past, delivering them when they are needed most.",23,"Comedy, Drama, Mystery","Eric Mabius, Kristin Booth, Yan-Kay Crystal Lowe, Geoff Gustafson",7.5,1974,2014
Ansatsu kyôshitsu,"A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill him. An assassination classroom begins.",60,"Animation, Action, Comedy","Jun Fukuyama, Mai Fuchigami, Christopher Bevins, Luci Christian",8.0,9959,2013–2016
The Thundermans,"These siblings with superpowers might be twins, but they are very different indeed.",60,"Action, Comedy, Drama","Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez",5.8,3928,2013–2018
Tidelands,"After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents.",30,"Crime, Drama, Fantasy","Charlotte Best, Marco Pigossi, Aaron Jakubenko, Mattias Inwood",7.0,6988,2018
Rescue Me,Tommy Gavin deals with the fears of his job as a firefighter and seeing his ex-wife dating other men.,60,"Comedy, Drama","Denis Leary, Michael Lombardi, Steven Pasquale, Andrea Roth",8.3,25189,2004–2011
A Black Lady Sketch Show,A half-hour sketch comedy written by and starring Robin Thede.,20,Comedy,"Robin Thede, Ashley Nicole Black, Gabrielle Dennis, Quinta Brunson",7.2,1889,2019– 
Get Shorty,The adventures of a mobster-turned-movie producer in Hollywood. TV show based on Elmore Leonard's novel and subsequent film.,22,"Comedy, Crime","""Chris ODowd"", Ray Romano, Sean Bridgers, Carolyn Dodd",8.2,6163,2017–2019
Flames,A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.,21,"Comedy, Drama, Romance","Ritvik Sahore, Tanya Maniktala, Sunakshi Grover, Shivam Kakar",9.2,24699,2018– 
Rules of Engagement,"Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment, and marriage.",42,"Comedy, Romance","Patrick Warburton, Megyn Price, Oliver Hudson, Bianca Kajlich",7.3,32071,2007–2013
This Country,"Comedy exploring the lives of young people in modern rural Britain, focusing on cousins Kerry and Kurtan and their lives in the Cotswolds.",75,Comedy,"Daisy May Cooper, Charlie Cooper, Paul Chahidi, Ivy Woodcock",8.5,4448,2017–2020
The Carrie Diaries,"Carrie Bradshaw is in her junior year of high school in the early 1980s. She asks her first questions about love, sex, friendship and family while navigating the worlds of high school and Manhattan.",60,"Comedy, Romance","AnnaSophia Robb, Austin Butler, Ellen Wong, Katie Findlay",7.0,26250,2013–2014
Vivir sin permiso,"Nemo Bandeira, a dealer with a clean businessman facade, is diagnosed with Alzheimer's disease and tries to keep it from his family while he starts to think about who might be his successor.",42,Drama,"Jose Coronado, Álex González, Claudia Traisac, Luis Zahera",7.5,3615,2018–2020
Tae-yang-eui hoo-ye,This drama tells of the love story that develops between a surgeon and a special forces officer.,140,"Action, Comedy, Drama","Song Joong-ki, Song Hye-Kyo, Jin Goo, Kim Ji-Won",8.3,10618,2016
Perception,Dr. Daniel Pierce is an eccentric neuropsychiatrist who uses his unique outlook to help the federal government solve complex criminal cases.,nan,"Crime, Drama, Mystery","Eric McCormack, Rachael Leigh Cook, Kelly Rowan, Arjay Smith",7.5,19467,2012–2015
Siyah Beyaz Ask,A doctor who has devoted herself to healing others encounters a cold-blooded killer with a wounded past. What happens when the woman who saves lives is captured by the man who takes them?,nan,"Action, Drama, Romance","Ibrahim Celikkol, Birce Akalay, Muhammet Uzuner, Cahit Gök",8.1,5246,2017–2018
Electric Dreams,A sci-fi anthology series with stand-alone episodes based on the works of Philip K. Dick.,60,Sci-Fi,"Steve Buscemi, Geraldine Chaplin, Bryan Cranston, Terrence Howard",7.3,14338,2017– 
That Time I Got Reincarnated as a Slime,"Lonely thirty-seven-year-old Mikami Satoru is stuck in a dead-end job, unhappy with his mundane life, but after dying at the hands of a robber, he awakens to a fresh start in a fantasy ...                ",25,"Animation, Action, Adventure","Miho Okasaki, Brittney Karbowski, Mallorie Rodak, Megumi Toyoguchi",8.1,5555,2018– 
Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,24,"Animation, Comedy, Romance","Aoi Koga, Makoto Furukawa, Konomi Kohara, Yutaka Aoyama",8.4,6001,2019– 
Kiralik Ask,"When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make omer, a wealthy shoe designer who owns a company, fall in love with her and marry her.",120,"Comedy, Romance","Elçin Sangu, Baris Arduç, Salih Bademci, Nergis Kumbasar",7.1,6743,2015–2017
Krypton,The untold story of Superman's grandfather as he fights for justice on his home planet.,45,"Action, Adventure, Drama","Cameron Cuffe, Georgina Campbell, Shaun Sipos, Ann Ogbomo",6.9,15187,2018–2019
Terminator: The Sarah Connor Chronicles,Set after the events in ,60,"Action, Drama, Fantasy","Lena Headey, Thomas Dekker, Summer Glau, Richard T. Jones",7.7,57918,2008–2009
Robot Chicken,Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.,11,"Animation, Short, Adventure","Seth Green, Matthew Senreich, Breckin Meyer, Tom Root",7.7,40106,2005– 
Paradise PD,"Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.",28,"Animation, Action, Comedy","Sarah Chalke, David Herman, Tom Kenny, Kyle Kinane",6.9,15387,2018– 
The Dragon Prince,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.",26,"Animation, Adventure, Drama","Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson",8.4,18002,2018– 
Family Reunion,"When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.",28,Comedy,"Talia Jackson, Tia Mowry-Hardrict, Anthony Alabi, Loretta Devine",6.5,1947,2019– 
Secret City,"Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.",49,"Mystery, Thriller","Anna Torv, Marcus Graham, Justin Smith, Aleks Mikic",7.4,6834,2016–2019
Muhtesem Yüzyil,"From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigeth"".",90,"Biography, Drama, History","Gökhan Atalay, Halit Ergenç, Nur Fettahoglu, Selim Bayraktar",6.7,15633,2011–2014
Candice Renoir,The story circles around French police officer Commandant Candice Renoir and her team solving different crime cases in a harbor city of south France. Candice herself is a mother of 4 ...                ,52,"Comedy, Crime, Drama","Cécile Bois, Raphaël Lenglet, Clara Antoons, Etienne Martinelli",7.4,822,2013– 
World on Fire,WWII drama centered on the lives of ordinary people affected by the war.,57,"Drama, War","Jonah Hauer-King, Julia Brown, Helen Hunt, Sean Bean",7.3,4352,2019– 
Jericho,"A small town in Kansas is literally left in the dark after seeing a mushroom cloud over near-by Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive.",45,"Action, Drama, Mystery","Skeet Ulrich, Lennie James, Ashley Scott, Kenneth Mitchell",7.9,54376,2006–2008
Our Girl,Drama following the extraordinary adventures of female medics in the British Army.,60,"Action, Drama, Thriller","Michelle Keegan, Sean Ward, Ben Aldridge, Rolan Bell",7.7,3653,2013–2020
Portlandia,"A sketch-comedy series that parodies life in Portland, Oregon.",22,Comedy,"Fred Armisen, Carrie Brownstein, Kyle MacLachlan, Sam Adams",7.8,18734,2011–2018
Klovn,"The socially awkward misadventures of Frank Hvam, his girlfriend Mia and his best friend Casper.",25,Comedy,"Frank Hvam, Casper Christensen, Mia Lyhne, Iben Hjejle",8.4,4939,2005–2021
Ben 10,"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species.",22,"Animation, Action, Adventure","Tara Strong, Paul Eiding, Meagan Moore, Dee Bradley Baker",7.3,14587,2005–2008
Ramy,"In New Jersey, Ramy, son of Egyptian migrants, begins a spiritual journey, divided between his Muslim community, God, and his friends who see endless possibilities.",30,"Comedy, Drama, Romance","Ramy Youssef, Amr Waked, Mohammed Amer, Hiam Abbass",8.1,11259,2019– 
Lilyhammer,A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.,45,"Comedy, Crime, Drama","Steven Van Zandt, Trond Fausa, Steinar Sagen, Marian Saastad Ottesen",8.0,27181,2012–2014
For Life,A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.,43,"Biography, Crime, Drama","Nicholas Pinnock, Indira Varma, Joy Bryant, Dorian Missick",7.6,3960,2020–2021
Ancient Aliens,Science and mythology - and how they are the same thing.,42,"Documentary, Fantasy, History","Robert Clotworthy, Giorgio A. Tsoukalos, David Childress, William Henry",7.2,9988,2009– 
Invincible,The story of a teenager and his amazing powers that he inherited from his superhero father.,9,Animation,"Patrick Cavanaugh, Pete Sepenuk, Victoria Kelleher, Wendy Allyn",8.8,356,2008– 
Señora Acero,"Señora Acero 3: La Coyote- Bastard daughter of Vicente Acero, Vicenta Rigores Acero (La Coyote) must come face to face with her destiny to become the New Señora Acero, as she is the inheritor of the Acero family dynasty.",22,"Crime, Drama, Romance","Aurora Gil, Oscar Priego, Jorge Zárate, Michel Duval",7.1,289,2014–2019
Peppa Pig,A little pig named Peppa and her little brother George have journeys everyday with their family and friends.,25,"Animation, Adventure, Comedy","John Sparkes, Morwenna Banks, Richard Ridings, Oliver May",6.3,3985,2004– 
Raven's Home,"Though Raven Baxter is psychic, she never guessed that she would be a single mother living in an apartment with her twins, Nia and Booker Baxter, and her best friend Chelsea and her son Levi.",51,"Comedy, Family","Raven-Symoné, Issac Ryan Brown, Navia Ziraili Robinson, Jason Maybaum",7.3,2542,2017–2021
Samurai Jack,A samurai sent through time fights to return home and save the world.,60,"Animation, Action, Adventure","Phil LaMarr, Mako, Kevin Michael Richardson, Jeff Bennett",8.5,47168,2001–2017
Gypsy,Therapist Jean Holloway becomes too immersed in the lives of her patients.,43,"Drama, Thriller","Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman",6.9,14739,2017
Tales of the City,"A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrigal at 28 Barbary Lane, all of whom quickly become part of what Maupin coined a ""logical family"". It's no longer a secret that Mrs. Madrigal is transgender. Instead, she ...                ",30,Drama,"Laura Linney, Elliot Page, Paul Gross, Murray Bartlett",7.4,6722,2019
SGU Stargate Universe,"Trapped on an Ancient spaceship billions of light-years from home, a group of soldiers and civilians struggle to survive and find their way back to Earth.",22,"Drama, Sci-Fi","Robert Carlyle, Louis Ferreira, Brian J. Smith, Elyse Levesque",7.6,48132,2009–2011
Secret Diary of a Call Girl,Based on the popular diary of the anonymous sex worker known only as Belle de Jour.,89,Drama,"Billie Piper, Iddo Goldberg, Cherie Lunghi, Ashley Madekwe",7.4,12903,2007–2011
Good Luck Charlie,"The Duncan family are adjusting to the surprise birth of their fourth child, Charlie. When parents Amy and Bob return to work they put their latest addition in the care of her three older siblings.",30,"Comedy, Drama, Family","Bridgit Mendler, Leigh-Allyn Baker, Bradley Steven Perry, Mia Talerico",7.0,19375,2010–2014
Inspector George Gently,"With the help of DS John Bacchus, Inspector George Gently spends his days bringing to justice members of the criminal underworld who are unfortunate enough to have the intrepid investigator assigned to their cases.",52,"Crime, Drama, Mystery","Martin Shaw, Lee Ingleby, Simon Hubbard, Lisa McGrillis",8.0,6107,2007–2017
Norsemen,Viking life at the close of the 8th century.,45,Comedy,"Kåre Conradi, Nils Jørgen Kaalstad, Jon Øigarden, Bjørn Myrene",7.8,15504,2016–2020
Zone Blanche,A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.,24,"Crime, Drama, Horror","Suliane Brahim, Hubert Delattre, Laurent Capelluto, Samuel Jouy",7.5,8510,2017– 
Scott & Bailey,"Two female detectives, one motherly, the other emotionally immature, have varying levels of success applying their eccentric outlooks on life to their police cases and private lives.",44,"Crime, Drama, Mystery","Suranne Jones, Lesley Sharp, Tony Mooney, David Prosho",8.0,7186,2011–2016
Dragon Ball Super: Doragon bôru cho,"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger.",23,"Animation, Action, Adventure","Masako Nozawa, Naoki Tatsuta, Ryô Horikawa, Sean Schemmel",8.4,25071,2015–2018
Treadstone,"The Treadstone project, having created super spy Jason Bourne, turns its attention on a new protocol to develop unstoppable superhuman assassins.",55,Action,"Jeremy Irvine, Tracy Ifeachor, Omar Metwally, Han Hyo-joo",7.0,8794,2019
To the Lake,A terrible plague strikes and a group decides to risk their lives. Humanity struggles to survive as they face the end of their civilization.,24,"Drama, Sci-Fi, Thriller","Kirill Käro, Maryana Spivak, Aleksandr Robak, Eldar Kalimulin",7.3,10124,I 2019
Undone,A woman discovers she has a new relationship with time after surviving a car accident that almost killed her.,53,"Animation, Drama, Fantasy","Rosa Salazar, Angelique Cabral, Constance Marie, Siddharth Dhananjay",8.2,14911,2019– 
Deadliest Catch,A documentary series chronicling the real-life high-sea adventures of the Alaskan crab fishermen. This is the most deadly profession in the world.,30,"Documentary, Adventure, Reality-TV","Mike Rowe, Sig Hansen, Keith Colburn, Jake Anderson",7.8,7875,2005– 
Lovesick,"After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.",26,Comedy,"Johnny Flynn, Antonia Thomas, Daniel Ings, Joshua McGuire",8.1,17139,2014–2018
Waterloo Road,A contemporary drama series set in a challenging comprehensive school.,22,"Drama, Romance","Philip Martin Brown, Jason Done, Chelsee Healey, Denise Welch",7.2,2834,2006–2015
Bless the Harts,A group of Southerners strive to live the American dream.,30,"Animation, Comedy","Kristen Wiig, Maya Rudolph, Jillian Bell, Ike Barinholtz",5.4,1572,2019–2021
One Mississippi,This semi-autobiographical dark comedy starring Tig Notaro follows her as she returns to her hometown after the sudden death of her mother. Still reeling from her own declining health ...                ,30,"Comedy, Drama","Tig Notaro, John Rothman, Noah Harpster, Stephanie Allynne",7.4,3420,2015–2017
Everybody Hates Chris,A young African-American teen attempts to survive with his dysfunctional family and his all-white school in the 1980s.,60,"Comedy, Drama, Music","Terry Crews, Tichina Arnold, Tequan Richmond, Imani Hakim",7.4,34863,2005–2009
Melissa & Joey,"After a family scandal leaves Mel, a local politician, in charge of her niece and nephew, she hires a man named Joe to become the family's male nanny, or ""manny"".",23,"Comedy, Romance","Melissa Joan Hart, Joey Lawrence, Taylor Spreitler, Nick Robinson",7.0,17851,2010–2015
Transparent,An L.A. family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out.,29,"Comedy, Drama","Jeffrey Tambor, Amy Landecker, Gaby Hoffmann, Jay Duplass",7.7,21510,2014–2019
Fortitude,"Perched on the edge of the Arctic Circle, Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now.",25,"Drama, Horror, Mystery","Richard Dormer, Björn Hlynur Haraldsson, Sienna Guillory, Mia Jexen",7.4,20277,2015–2018
Trollhunters,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",22,"Animation, Action, Adventure","Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer",8.5,14070,2016–2018
The Tick,"In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero.",60,"Action, Adventure, Comedy","Peter Serafinowicz, Griffin Newman, Valorie Curry, Brendan Hines",7.4,16207,2016–2019
Alexa & Katie,Lifelong best friends Alexa Mendoza and Katie Cooper are anticipating the start of their freshman year of high school. They confront a crisis that leaves them feeling like outsiders at a time when fitting in is what seems to matter most.,60,"Comedy, Drama","Paris Berelc, Isabel May, Jolie Jenkins, Emery Kelly",7.5,3457,2018–2020
Kiseijû: Sei no kakuritsu,"17-year-old Shinichi Izumi is partially infected by a Parasyte; monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and human, as part monster, part person.",24,"Animation, Action, Horror","Adam Gibbs, Aya Hirano, Brittney Karbowski, Nobunaga Shimazaki",8.3,28154,2014–2015
NOS4A2,"Charlie Manx, a seductive immortal who feeds off the souls of children, has his whole world threatened when a young woman in New England discovers she has a dangerous gift.",44,"Drama, Fantasy, Horror","Ashleigh Cummings, Ólafur Darri Ólafsson, Jahkara Smith, Ebon Moss-Bachrach",6.7,7955,2019–2020
Hightown,"Set in the world of beautiful but bleak Cape Cod, one woman's journey to sobriety is overshadowed by a murder investigation dragging her into its fold.",80,"Crime, Drama, Mystery","Riley Voelkel, Mike Pniewski, Tonya Glanz, Jona Xiao",6.5,2510,2020– 
Damages,A law school graduate becomes the protégée of a successful high-stakes litigator.,10,"Crime, Drama, Mystery","Glenn Close, Rose Byrne, Tate Donovan, Zachary Booth",8.1,28220,2007–2012
DARLING in the FRANXX,"In a future world where humanity has been driven to endangerment by giant beasts, a strike force is assembled to destroy the monsters and save the world.",22,"Animation, Action, Drama","Yûto Uemura, Kana Ichinose, Nanami Yamashita, Saori Hayami",7.4,6121,2018
Wu Assassins,A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown.,30,"Action, Crime, Drama","Iko Uwais, Byron Mann, Li Jun Li, Lawrence Kao",6.4,10371,2019
Miseuteo Shunshain,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,30,"Action, Drama, History","Lee Byung-hun, Kim Tae-ri, Yoo Yeon-Seok, Yo-Han Byun",8.8,4915,2018
Teen Titans Go!,"Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?",30,"Animation, Action, Adventure","Scott Menville, Greg Cipes, Khary Payton, Hynden Walch",5.3,18122,2013– 
The Loud House,"Lincoln Loud is an eleven-year-old boy who lives with ten sisters. With the help of his right-hand man Clyde, Lincoln finds new ways to survive in such a large family every day.",24,"Animation, Action, Adventure","Grey Griffin, Lara Jill Miller, Jessica DiCicco, Catherine Taber",7.2,3878,2015– 
No Activity,Two low-level cops who have spent too much time in a car; two criminals who are kept in the dark; two dispatch workers who haven't really clicked; and two Mexican tunnelers who are in a small space considering they've only just met.,60,"Animation, Comedy","Patrick Brammall, Sunita Mani, Tim Meadows, Amy Sedaris",6.7,1174,2017– 
Cocomelon,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",60,"Animation, Comedy, Family","Hannah An, Alice Cho, Ava Madison Gray, Kristen Princiotta",4.8,215,2019– 
Party Down,"A group of actors move to Los Angeles to make it big, but end up working as caterers.",45,"Comedy, Drama","Adam Scott, Ken Marino, Ryan Hansen, Martin Starr",8.2,28385,2009–2010
Still Game,"Cult Scottish comedy about the lives of two OAP's Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional area of Craiglang, Glasgow.",30,Comedy,"Ford Kiernan, Greg Hemphill, Paul Riley, Gavin Mitchell",8.8,6472,2002–2019
Akame ga Kill!,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.,107,"Animation, Action, Adventure","Sôma Saitô, Corey Hartzog, Sora Amamiya, Molly Searcy",7.8,18478,2014
Girlfriends' Guide to Divorce,Follows a best-selling author of a self-help book series who hides her recent separation as she starts to navigate her life as a single woman in her 40s in Los Angeles.,52,"Comedy, Drama","Lisa Edelstein, Beau Garrett, Necar Zadegan, Alanna Ubach",6.9,3985,2014–2018
L'amica geniale,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,45,Drama,"Alba Rohrwacher, Margherita Mazzucco, Gaia Girace, Annarita Vitolo",8.6,10774,2018– 
The Mallorca Files,A British and German detective clashing over how to police the Spanish island of Mallorca.,42,"Crime, Drama","Elen Rhys, Julian Looman, María Fernández Ache, Tábata Cerezo",6.6,1346,2019– 
The Comeback,An ex A-list celebrity attempts to rekindle the flame of her once prominent acting career with nothing but a camera crew and some determination.,50,Comedy,"Lisa Kudrow, Lance Barber, Robert Michael Morris, Laura Silverman",8.0,6412,2005–2014
Bonding,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,90,"Comedy, Drama","Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman",7.2,14103,2018– 
Engrenages,Follows criminal investigations in Paris from all the different points of view of those involved.,42,"Crime, Drama, Mystery","Caroline Proust, Audrey Fleurot, Thierry Godard, Philippe Duclos",8.5,5503,2005–2020
Beforeigners,"HBO Nordic's first original series from Norway, Beforeigners is about two persons who mysteriously appear in Oslo. They are the first of many from the past to seek refuge in present time. Seven years later the community is transformed.",22,"Crime, Drama, Sci-Fi","Nicolai Cleve Broch, Krista Kosonen, Ágústa Eva Erlendsdóttir, Stig R. Amdam",7.8,7115,2019– 
The Night Shift,A group of doctors from the Army return to work the night shift at a hospital in San Antonio.,43,"Drama, Romance","Eoin Macken, Jill Flint, Brendan Fehr, Robert Bailey Jr.",7.4,11197,2014–2017
Baby,"A coming-of-age story that explores the unseen lives of Roman high schoolers. Loosely inspired by a true story, the series follows a group of Parioli teenagers as they defy society in their search for identity and independence",43,Drama,"Benedetta Porcaroli, Alice Pagani, Riccardo Mandolini, Chabeli Sastre",6.8,9072,2018–2020
The Inspector Lynley Mysteries,"British crime investigation series based around aristocratic, Oxford-educated Detective Inspector Thomas Lynley ( ",59,"Crime, Drama, Mystery","Nathaniel Parker, Sharon Small, Lesley Vickerage, Paul Hickey",7.4,4305,2001–2008
Naked and Afraid XL,A group of amateur survivalists are put to the ultimate test in the wild for 40 days with nothing but a few primitive tools. No food. No clothing. No water. They must hunt and gather whatever they need until extraction day.,50,"Adventure, Reality-TV","Michael Brown, Lacey Jones, Jeff Zausch, Matt Wright",7.4,1142,2015– 
Drunk History,Historical reenactments by A-list talent are presented by inebriated storytellers.,50,"Comedy, History","Derek Waters, Bennie Arthur, Craig Cackowski, Maria Blasucci",7.8,9523,2013–2019
Forever,A 200-year-old man works in the New York City Morgue trying to find a key to unlock the curse of his immortality.,60,"Crime, Drama, Fantasy","Ioan Gruffudd, Alana De La Garza, Joel David Moore, Donnie Keshawarz",8.3,54131,2014–2015
Inhumans,An isolated community of superhumans fight to protect themselves.,50,"Action, Adventure, Sci-Fi","Anson Mount, Serinda Swan, Ken Leung, Eme Ikwuakor",5.0,22834,2017
Da Vinci's Demons,"Follows Leonardo Da Vinci during his early days in Florence, as a young artist, inventor and dreamer, trying to change the future.",60,"Adventure, Biography, Drama","Tom Riley, Gregg Chillin, Eros Vlahos, Laura Haddock",8.0,74175,2013–2015
Suburra - La serie,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",60,"Action, Crime","Alessandro Borghi, Giacomo Ferrara, Filippo Nigro, Carlotta Antonelli",7.9,12668,2017–2020
Criminal Justice,"Sex, drugs and a gruesome murder. An edgy one night stand turns into a nightmare for Aditya, when he wakes up with blood on his hands. The evidence is stacked against him, but he doesn't remember the grisly crime. Is he guilty or not ?",42,"Crime, Drama, Mystery","Vikrant Massey, Pankaj Tripathi, Rucha Inamdar, Jagat Rawat",8.1,12072,2019– 
Salem,Supernatural horror loosely based on Salem's 17th century witch trials.,24,"Drama, Fantasy, Horror","Janet Montgomery, Shane West, Seth Gabel, Tamzin Merchant",7.2,22392,2014–2017
Chen qing ling,Two talented disciples of respectable magical clans unit during the cultivation training and through many hardships they are together.,42,"Action, Adventure, Drama","Zhan Xiao, Yibo Wang, Zhuocheng Wang, Lu Xuan",9.0,4371,2019
The Hills: New Beginnings,"The original cast of The Hills reunite alongside their children, friends, and new faces, and follows their personal and professional lives in Los Angeles.",60,Reality-TV,"Brody Jenner, Audrina Patridge, Heidi Montag, Spencer Pratt",5.5,463,2019– 
Metástasis,"A Colombian remake of the U.S. TV show Breaking Bad. After he is diagnosed with cancer, Walter Blanco teams up with José Miguel Rosas in order to sell crystal meth.",42,"Crime, Drama, Thriller","Constanza Hernández, Diego Trujillo, Roberto Urbina, Sandra Reyes",2.3,1940,2014
Frankie Drake Mysteries,"The series follows Frankie Drake, a female private detective operating in Toronto in the 1920s.",21,"Crime, Drama, Mystery","Lauren Lee Smith, Chantel Riley, Rebecca Liddiard, Sharron Matthews",6.8,1780,2017–2021
Saints & Sinners,"A Southern Baptist church and its surrounding community are entrenched in a world of crime, lust, deceit, and greed.",30,Drama,"Vanessa Bell Calloway, Clifton Powell, Jasmine Burke, J.D. Williams",7.5,527,2016– 
Kuroko no basuke,"The Teiko Middle School Basketball Team. The school that produced three perfect seasons in a row, with five once-in-a generation players, called ""The Generation of Miracles."" There was ...                ",48,"Animation, Comedy, Sport","Kenshô Ono, Yoshimasa Hosoya, Yuki Ono, Hirofumi Nojima",8.3,6111,2012–2015
Southland,The lives of Police Officers working for the Los Angeles Police Department.,43,"Crime, Drama, Thriller","Michael Cudlitz, Shawn Hatosy, Regina King, Ben McKenzie",8.4,24905,2009–2013
Blood & Treasure,An antiquities expert teams up with an art thief to catch a terrorist who funds his attacks using stolen artifacts.,30,"Action, Adventure","Matt Barr, Sofia Pernas, James Callis, Katia Winter",6.7,3788,2019– 
